ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao,data,hora,minuto,dia_semana,latencia_envio_s,latencia_servidor_s
C30061,-22.84227,-43.25473,2026-04-07 16:11:23-03:00,0,557,2026-04-07 16:11:32-03:00,2026-04-07 16:11:52-03:00,2026-04-07 16:43:46,2026-04-07,16,11,Tuesday,9.0,20.0
B10068,-22.88518,-43.2286,2026-04-07 15:45:00-03:00,0,328,2026-04-07 15:45:04-03:00,2026-04-07 15:45:29-03:00,2026-04-07 16:43:46,2026-04-07,15,45,Tuesday,4.0,25.0
C44669,-22.89412,-43.28733,2026-04-07 16:21:33-03:00,16,638,2026-04-07 16:21:44-03:00,2026-04-07 16:21:53-03:00,2026-04-07 16:43:46,2026-04-07,16,21,Tuesday,11.0,9.0
A29069,-22.90046,-43.21056,2026-04-07 16:22:01-03:00,37,275,2026-04-07 16:22:04-03:00,2026-04-07 16:22:31-03:00,2026-04-07 16:43:46,2026-04-07,16,22,Tuesday,3.0,27.0
B32551,-22.86914,-43.3038,2026-04-07 16:13:30-03:00,3,298,2026-04-07 16:13:38-03:00,2026-04-07 16:13:53-03:00,2026-04-07 16:43:46,2026-04-07,16,13,Tuesday,8.0,15.0
D17104,-22.91473,-43.68591,2026-04-07 16:41:16-03:00,0,849,2026-04-07 16:41:18-03:00,2026-04-07 16:41:48-03:00,2026-04-07 16:43:46,2026-04-07,16,41,Tuesday,2.0,30.0
C30344,-22.98829,-43.32645,2026-04-07 16:28:12-03:00,33,550,2026-04-07 16:28:15-03:00,2026-04-07 16:28:48-03:00,2026-04-07 16:43:46,2026-04-07,16,28,Tuesday,3.0,33.0
D53538,-22.86275,-43.24805,2026-04-07 15:48:37-03:00,40,393,2026-04-07 15:48:44-03:00,2026-04-07 15:49:01-03:00,2026-04-07 16:43:46,2026-04-07,15,48,Tuesday,7.0,17.0
A29182,-22.96629,-43.17892,2026-04-07 16:03:28-03:00,20,SV474,2026-04-07 16:03:35-03:00,2026-04-07 16:03:38-03:00,2026-04-07 16:43:46,2026-04-07,16,3,Tuesday,7.0,3.0
D86249,-22.88284,-43.48782,2026-04-07 16:26:21-03:00,3,864,2026-04-07 16:26:26-03:00,2026-04-07 16:26:34-03:00,2026-04-07 16:43:46,2026-04-07,16,26,Tuesday,5.0,8.0
D13138,-22.91395,-43.23683,2026-04-07 16:19:44-03:00,0,341,2026-04-07 16:19:58-03:00,2026-04-07 16:20:05-03:00,2026-04-07 16:43:46,2026-04-07,16,19,Tuesday,14.0,7.0
B32737,-22.86515,-43.29432,2026-04-07 16:03:41-03:00,3,687,2026-04-07 16:03:49-03:00,2026-04-07 16:04:11-03:00,2026-04-07 16:43:46,2026-04-07,16,3,Tuesday,8.0,22.0
D86279,-22.97786,-43.67525,2026-04-07 15:56:26-03:00,0,872,2026-04-07 15:56:37-03:00,2026-04-07 15:56:39-03:00,2026-04-07 16:43:46,2026-04-07,15,56,Tuesday,11.0,2.0
B11641,-22.85385,-43.3839,2026-04-07 15:49:43-03:00,0,908,2026-04-07 15:49:48-03:00,2026-04-07 15:50:19-03:00,2026-04-07 16:43:46,2026-04-07,15,49,Tuesday,5.0,31.0
A48008,-22.90984,-43.19105,2026-04-07 16:15:40-03:00,5,202,2026-04-07 16:15:48-03:00,2026-04-07 16:16:18-03:00,2026-04-07 16:43:46,2026-04-07,16,15,Tuesday,8.0,30.0
D86063,-22.99107,-43.5937,2026-04-07 16:21:33-03:00,53,883,2026-04-07 16:21:42-03:00,2026-04-07 16:21:54-03:00,2026-04-07 16:43:46,2026-04-07,16,21,Tuesday,9.0,12.0
D86003,-22.90172,-43.55585,2026-04-07 15:49:23-03:00,0,SP864,2026-04-07 15:49:32-03:00,2026-04-07 15:49:55-03:00,2026-04-07 16:43:46,2026-04-07,15,49,Tuesday,9.0,23.0
C30023,-23.00825,-43.28604,2026-04-07 15:56:52-03:00,66,565,2026-04-07 15:56:54-03:00,2026-04-07 15:56:58-03:00,2026-04-07 16:43:46,2026-04-07,15,56,Tuesday,2.0,4.0
B32532,-22.88583,-43.22862,2026-04-07 16:34:05-03:00,9,399,2026-04-07 16:34:11-03:00,2026-04-07 16:34:20-03:00,2026-04-07 16:43:46,2026-04-07,16,34,Tuesday,6.0,9.0
B27223,-22.8424,-43.31364,2026-04-07 16:31:24-03:00,20,LECD144,2026-04-07 16:31:29-03:00,2026-04-07 16:31:47-03:00,2026-04-07 16:43:46,2026-04-07,16,31,Tuesday,5.0,18.0
C51550,-22.88206,-43.32576,2026-04-07 16:18:03-03:00,22,371,2026-04-07 16:18:13-03:00,2026-04-07 16:18:42-03:00,2026-04-07 16:43:46,2026-04-07,16,18,Tuesday,10.0,29.0
D33202,-22.90226,-43.56085,2026-04-07 16:34:21-03:00,0,822,2026-04-07 16:34:51-03:00,2026-04-07 16:35:04-03:00,2026-04-07 16:43:46,2026-04-07,16,34,Tuesday,30.0,13.0
B11642,-22.87231,-43.3445,2026-04-07 16:40:30-03:00,48,908,2026-04-07 16:40:36-03:00,2026-04-07 16:40:54-03:00,2026-04-07 16:43:46,2026-04-07,16,40,Tuesday,6.0,18.0
D13267,-22.95291,-43.34932,2026-04-07 16:29:22-03:00,7,600,2026-04-07 16:29:29-03:00,2026-04-07 16:29:50-03:00,2026-04-07 16:43:46,2026-04-07,16,29,Tuesday,7.0,21.0
B63106,-22.85101,-43.30978,2026-04-07 15:44:57-03:00,25,919,2026-04-07 15:45:06-03:00,2026-04-07 15:45:10-03:00,2026-04-07 16:43:46,2026-04-07,15,44,Tuesday,9.0,4.0
C47524,-22.91536,-43.2686,2026-04-07 15:56:15-03:00,4,306,2026-04-07 15:56:22-03:00,2026-04-07 15:56:29-03:00,2026-04-07 16:43:46,2026-04-07,15,56,Tuesday,7.0,7.0
C30035,-22.89463,-43.34966,2026-04-07 16:18:39-03:00,0,766,2026-04-07 16:18:44-03:00,2026-04-07 16:19:04-03:00,2026-04-07 16:43:46,2026-04-07,16,18,Tuesday,5.0,20.0
