ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao
C50207,"-22,92302","-43,26442",1775499635000,0,608,1775499640000,1775499655000,2026-04-06 16:20:49
A50091,"-22,99569","-43,25953",1775499635000,22,448,1775499640000,1775499655000,2026-04-06 16:20:49
C50018,"-22,97758","-43,49989",1775499635000,0,SP810,1775499640000,1775499655000,2026-04-06 16:20:49
C50047,"-22,89928","-43,21111",1775499589000,9,301,1775499640000,1775499655000,2026-04-06 16:20:49
A50125,"-22,90098","-43,17736",1775499635000,0,220,1775499640000,1775499655000,2026-04-06 16:20:49
A71578,"-22,96692","-43,2361",1775499628000,1,409,1775499640000,1775499657000,2026-04-06 16:20:49
A71506,"-22,9528","-43,17611",1775499628000,12,100,1775499640000,1775499657000,2026-04-06 16:20:49
A71549,"-22,91423","-43,17758",1775499629000,20,409,1775499640000,1775499657000,2026-04-06 16:20:49
A71591,"-22,90281","-43,17551",1775499629000,4,100,1775499640000,1775499657000,2026-04-06 16:20:49
A71568,"-22,96887","-43,1865",1775499630000,0,100,1775499640000,1775499657000,2026-04-06 16:20:49
A71536,"-22,98395","-43,23835",1775499591000,40,539,1775499640000,1775499657000,2026-04-06 16:20:49
A71536,"-22,98395","-43,23835",1775499621000,40,539,1775499640000,1775499657000,2026-04-06 16:20:49
A71551,"-22,92675","-43,25349",1775499631000,9,217,1775499640000,1775499657000,2026-04-06 16:20:49
A71512,"-22,90221","-43,17588",1775499632000,18,100,1775499640000,1775499657000,2026-04-06 16:20:49
A71531,"-22,91191","-43,18781",1775499630000,13,409,1775499640000,1775499657000,2026-04-06 16:20:49
A71525,"-22,96663","-43,23565",1775499631000,0,409,1775499640000,1775499657000,2026-04-06 16:20:49
A71570,"-22,92477","-43,2117",1775499632000,23,133,1775499640000,1775499657000,2026-04-06 16:20:49
A71585,"-22,98944","-43,25176",1775499632000,0,539,1775499640000,1775499657000,2026-04-06 16:20:49
A71519,"-22,92084","-43,21777",1775499632000,0,409,1775499640000,1775499657000,2026-04-06 16:20:49
A71508,"-22,9426","-43,17888",1775499635000,56,100,1775499640000,1775499657000,2026-04-06 16:20:49
A71535,"-22,98465","-43,1976",1775499635000,0,100,1775499640000,1775499657000,2026-04-06 16:20:49
A71614,"-22,98574","-43,2435",1775499635000,21,539,1775499640000,1775499657000,2026-04-06 16:20:49
A71566,"-22,94684","-43,18158",1775499634000,51,169,1775499640000,1775499657000,2026-04-06 16:20:49
A71517,"-22,96341","-43,21672",1775499636000,23,409,1775499640000,1775499657000,2026-04-06 16:20:49
A71604,"-22,96578","-43,17805",1775499636000,7,100,1775499640000,1775499657000,2026-04-06 16:20:49
A71527,"-22,95424","-43,19253",1775499636000,1,409,1775499640000,1775499657000,2026-04-06 16:20:49
A71504,"-22,92808","-43,23631",1775499637000,26,217,1775499640000,1775499657000,2026-04-06 16:20:49
A71514,"-22,96524","-43,22231",1775499637000,13,416,1775499640000,1775499657000,2026-04-06 16:20:49
A71600,"-22,98036","-43,19108",1775499637000,15,100,1775499640000,1775499657000,2026-04-06 16:20:49
A71509,"-22,957","-43,19854",1775499638000,9,409,1775499640000,1775499657000,2026-04-06 16:20:49
A71547,"-22,96679","-43,23582",1775499638000,0,409,1775499640000,1775499657000,2026-04-06 16:20:49
C44615,"-22,86038","-43,35532",1775499574000,0,355,1775499640000,1775499658000,2026-04-06 16:20:49
B44588,"-22,83237","-43,32861",1775499635000,11,LECD140,1775499640000,1775499658000,2026-04-06 16:20:49
B44592,"-22,84176","-43,27914",1775499605000,25,721,1775499640000,1775499658000,2026-04-06 16:20:49
B44572,"-22,87904","-43,33191",1775499636000,34,LECD140,1775499640000,1775499658000,2026-04-06 16:20:49
B44592,"-22,84197","-43,27882",1775499612000,16,721,1775499640000,1775499658000,2026-04-06 16:20:49
C44615,"-22,86038","-43,35532",1775499581000,0,355,1775499640000,1775499658000,2026-04-06 16:20:49
C44629,"-22,86423","-43,36062",1775499636000,38,638,1775499640000,1775499658000,2026-04-06 16:20:49
B44567,"-22,87663","-43,37268",1775499636000,40,783,1775499640000,1775499658000,2026-04-06 16:20:49
B44616,"-22,86326","-43,33234",1775499635000,22,SR355,1775499640000,1775499658000,2026-04-06 16:20:49
C44680,"-22,85373","-43,38417",1775499635000,0,783,1775499640000,1775499658000,2026-04-06 16:20:49
B44598,"-22,86084","-43,35587",1775499636000,0,LECD140,1775499640000,1775499658000,2026-04-06 16:20:49
